,Fuzzy,LR,BERTimbau,Δ vs LR,Δ vs BERT,Δ vs melhor baseline
admiration,0.6458263959577698,0.6091872199596629,0.614884502961319,0.036639175998106954,0.03094189299645078,0.03094189299645078
amusement,0.7549314777874889,0.7242112174371845,0.7522044483968297,0.030720260350304396,0.0027270293906592746,0.0027270293906592746
anger,0.4185992500528187,0.2992948660075082,0.3503092190598176,0.11930438404531052,0.06829003099300113,0.06829003099300113
annoyance,0.2797090262477758,0.20915877388916765,0.004487199306329741,0.07055025235860818,0.2752218269414461,0.07055025235860818
approval,0.2826964898600707,0.20803932910433756,0.09446686487345561,0.07465716075573312,0.18822962498661505,0.07465716075573312
caring,0.38321112276850516,0.29090861313648797,0.2958350232626451,0.0923025096320172,0.08737609950586006,0.08737609950586006
confusion,0.30841139367307635,0.2722216898332713,0.30925457773294796,0.036189703839805076,-0.0008431840598716045,-0.0008431840598716045
curiosity,0.3553190341664254,0.21794931637906104,0.18279556364858637,0.13736971778736437,0.17252347051783903,0.13736971778736437
desire,0.4122859893343171,0.47060627246248155,0.4773077903771526,-0.05832028312816445,-0.0650218010428355,-0.0650218010428355
disappointment,0.22324584506796463,0.16501700203475506,0.059782845044635116,0.058228843033209576,0.16346300002332953,0.058228843033209576
disapproval,0.3475347967129396,0.23255927513019686,0.13560461380727734,0.11497552158274271,0.21193018290566223,0.11497552158274271
disgust,0.3752836856629342,0.29874682144847176,0.3773945506105421,0.07653686421446243,-0.0021108649476079266,-0.0021108649476079266
embarrassment,0.38433008987212053,0.1610923813057787,0.46432354129294107,0.22323770856634184,-0.07999345142082054,-0.07999345142082054
excitement,0.21726154925429322,0.20154458911949039,0.2897743466600017,0.015716960134802838,-0.07251279740570846,-0.07251279740570846
fear,0.5306077535260707,0.37512274635888654,0.5735413220378198,0.15548500716718416,-0.04293356851174912,-0.04293356851174912
gratitude,0.8909079792433067,0.8770797939878017,0.8920320270325728,0.013828185255504999,-0.0011240477892661138,-0.0011240477892661138
grief,0.045196003691516176,0.19852092352092351,0.25879007864488807,-0.15332491982940732,-0.2135940749533719,-0.2135940749533719
joy,0.4953276471108309,0.4679177090135097,0.44065631694919893,0.027409938097321174,0.05467133016163195,0.027409938097321174
love,0.7673436735683234,0.753068178859198,0.7684884359304226,0.01427549470912548,-0.0011447623620991498,-0.0011447623620991498
nervousness,0.24841663319240279,0.20925098829720482,0.35825325811075603,0.03916564489519797,-0.10983662491835325,-0.10983662491835325
optimism,0.5501277519774201,0.5207771305201409,0.5128931586269663,0.02935062145727929,0.03723459335045387,0.02935062145727929
pride,0.12815046988966713,0.33156537509496853,0.5000370370370371,-0.2034149052053014,-0.3718865671473699,-0.3718865671473699
realization,0.09593901791063483,0.16660838319432775,0.008531047502423594,-0.07066936528369291,0.08740797040821124,-0.07066936528369291
relief,0.17989359738115074,0.1288943590904375,0.2753230890464933,0.050999238290713234,-0.09542949166534254,-0.09542949166534254
remorse,0.6207989056488643,0.5964314757883604,0.6191512905877475,0.024367429860503886,0.0016476150611167695,0.0016476150611167695
sadness,0.499927028811057,0.3926485662616672,0.4636738758074501,0.10727846254938977,0.036253153003606875,0.036253153003606875
surprise,0.5031370223911059,0.27685999732982836,0.5058498522591749,0.22627702506127756,-0.0027128298680689777,-0.0027128298680689777
neutral,0.6453574088740541,0.5798295036048761,0.5857425037160459,0.06552790526917807,0.05961490515800827,0.05961490515800827
