fold,emocao,regra,consequente,confianca,suporte
1,admiration,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.83, suporte=4132.9]",baixa,0.8261,4132.89
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é MUITO_ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.92, suporte=3282.2]",alta,0.9168,3282.15
1,admiration,"SE p_lr é ALTO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.96, suporte=2874.2]",baixa,0.9561,2874.18
1,admiration,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.78, suporte=2707.1]",baixa,0.7788,2707.14
1,admiration,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.99, suporte=2573.8]",baixa,0.9881,2573.82
1,admiration,"SE p_lr é BAIXO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.96, suporte=2143.6]",baixa,0.9597,2143.61
1,admiration,"SE p_lr é BAIXO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.99, suporte=1578.2]",baixa,0.9942,1578.23
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.99, suporte=1474.4]",baixa,0.9917,1474.4
1,admiration,"SE p_lr é ALTO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.98, suporte=1313.3]",baixa,0.9847,1313.29
1,admiration,"SE p_lr é MEDIO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.99, suporte=1310.5]",baixa,0.986,1310.5
1,admiration,"SE p_lr é MEDIO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.94, suporte=1254.2]",baixa,0.9369,1254.15
1,admiration,"SE p_lr é ALTO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.90, suporte=1207.3]",baixa,0.8966,1207.31
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é MUITO_ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.90, suporte=1105.7]",alta,0.8968,1105.71
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é MUITO_ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.91, suporte=1048.6]",alta,0.9108,1048.59
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.99, suporte=1047.1]",baixa,0.9941,1047.13
1,admiration,"SE p_lr é BAIXO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.93, suporte=1012.5]",baixa,0.9263,1012.52
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.98, suporte=995.5]",baixa,0.9798,995.47
1,admiration,"SE p_lr é BAIXO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.98, suporte=874.4]",baixa,0.9755,874.35
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.59, suporte=705.4]",alta,0.5908,705.39
1,admiration,"SE p_lr é MEDIO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.99, suporte=686.8]",baixa,0.9911,686.82
1,admiration,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.69, suporte=618.8]",baixa,0.6883,618.81
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.96, suporte=583.7]",baixa,0.9581,583.69
1,admiration,"SE p_lr é MEDIO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.93, suporte=552.4]",baixa,0.9293,552.4
1,admiration,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.85, suporte=527.7]",baixa,0.8482,527.65
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.99, suporte=497.5]",baixa,0.9938,497.53
1,admiration,"SE p_lr é MEDIO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.94, suporte=468.9]",baixa,0.9412,468.9
1,admiration,"SE p_lr é BAIXO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.99, suporte=465.8]",baixa,0.9934,465.82
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.57, suporte=450.0]",alta,0.5664,450.03
1,admiration,"SE p_lr é ALTO E p_bert é MUITO_ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.74, suporte=424.9]",alta,0.7399,424.95
1,admiration,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.98, suporte=409.1]",baixa,0.985,409.06
