,limiar_calibrado,base_rate
grief,0.15,0.001770107312755836
pride,0.41999999999999993,0.0026182837334513404
relief,0.36999999999999994,0.0033558284470996055
nervousness,0.30999999999999994,0.003835232510970978
embarrassment,0.4699999999999999,0.0069144816904524835
remorse,0.29,0.01233543533576723
fear,0.3,0.01408710403068186
desire,0.45999999999999996,0.014769332890806505
disgust,0.22999999999999998,0.01867831987314231
excitement,0.27,0.01937898735110816
surprise,0.37,0.0245049231109636
caring,0.25,0.025353099531659106
realization,0.16,0.025482169856547554
disappointment,0.15,0.029188332042630084
sadness,0.25,0.029962753991960762
confusion,0.31999999999999995,0.03084780764833868
joy,0.29,0.032894494228712615
anger,0.3,0.03613969096876498
optimism,0.39999999999999997,0.036434708854224285
love,0.33999999999999997,0.04749787955894826
disapproval,0.2,0.04759007264815429
curiosity,0.17,0.05017147914592322
amusement,0.36,0.053342921414610764
annoyance,0.15,0.05703064498285208
gratitude,0.6100000000000001,0.062175019360548735
approval,0.15,0.06798318398052881
admiration,0.32999999999999996,0.09444260058266032
neutral,0.25,0.3272670280635764
