t_lr,t_bert,t_pol,t_pert,origem,suporte,conf
BAIXA,BAIXA,NEGATIVA,MUITO_BAIXA,especialista,,
BAIXA,BAIXA,NEUTRA,MUITO_BAIXA,especialista,,
BAIXA,BAIXA,POSITIVA,MUITO_BAIXA,especialista,,
BAIXA,MEDIA,NEGATIVA,BAIXA,especialista,,
BAIXA,MEDIA,NEUTRA,BAIXA,especialista,,
BAIXA,MEDIA,POSITIVA,MEDIA,especialista,,
BAIXA,ALTA,NEGATIVA,MEDIA,especialista,,
BAIXA,ALTA,NEUTRA,ALTA,especialista,,
BAIXA,ALTA,POSITIVA,ALTA,especialista,,
MEDIA,BAIXA,NEGATIVA,MUITO_BAIXA,especialista,,
MEDIA,BAIXA,NEUTRA,BAIXA,especialista,,
MEDIA,BAIXA,POSITIVA,BAIXA,especialista,,
MEDIA,MEDIA,NEGATIVA,MEDIA,especialista,,
MEDIA,MEDIA,NEUTRA,MEDIA,especialista,,
MEDIA,MEDIA,POSITIVA,MEDIA,especialista,,
MEDIA,ALTA,NEGATIVA,ALTA,especialista,,
MEDIA,ALTA,NEUTRA,ALTA,especialista,,
MEDIA,ALTA,POSITIVA,MUITO_ALTA,especialista,,
ALTA,BAIXA,NEGATIVA,BAIXA,especialista,,
ALTA,BAIXA,NEUTRA,BAIXA,especialista,,
ALTA,BAIXA,POSITIVA,MEDIA,especialista,,
ALTA,MEDIA,NEGATIVA,MEDIA,especialista,,
ALTA,MEDIA,NEUTRA,ALTA,especialista,,
ALTA,MEDIA,POSITIVA,ALTA,especialista,,
ALTA,ALTA,NEGATIVA,MUITO_ALTA,especialista,,
ALTA,ALTA,NEUTRA,MUITO_ALTA,especialista,,
ALTA,ALTA,POSITIVA,MUITO_ALTA,especialista,,
