,Fuzzy,LR,BERTimbau,Δ vs LR,Δ vs BERT,Δ vs melhor baseline
admiration,0.5875572769897337,0.6091872199596629,0.614884502961319,-0.02162994296992915,-0.027327225971585323,-0.027327225971585323
amusement,0.7290940776646393,0.7242112174371845,0.7522044483968297,0.004882860227454766,-0.023110370732190355,-0.023110370732190355
anger,0.34949182776826193,0.2992948660075082,0.3503092190598176,0.05019696176075372,-0.0008173912915556691,-0.0008173912915556691
annoyance,0.2953347934817668,0.20915877388916765,0.004487199306329741,0.08617601959259913,0.29084759417543704,0.08617601959259913
approval,0.28198896403057017,0.20803932910433756,0.09446686487345561,0.0739496349262326,0.18752209915711454,0.0739496349262326
caring,0.27140467490022485,0.29090861313648797,0.2958350232626451,-0.01950393823626312,-0.02443034836242025,-0.02443034836242025
confusion,0.2897295105494069,0.2722216898332713,0.30925457773294796,0.017507820716135603,-0.01952506718354108,-0.01952506718354108
curiosity,0.30845369897668834,0.21794931637906104,0.18279556364858637,0.0905043825976273,0.12565813532810197,0.0905043825976273
desire,0.4371929148530012,0.47060627246248155,0.4773077903771526,-0.03341335760948033,-0.04011487552415138,-0.04011487552415138
disappointment,0.19145197367239683,0.16501700203475506,0.059782845044635116,0.026434971637641774,0.1316691286277617,0.026434971637641774
disapproval,0.31129237947278876,0.23255927513019686,0.13560461380727734,0.0787331043425919,0.17568776566551142,0.0787331043425919
disgust,0.3375049956643895,0.29874682144847176,0.3773945506105421,0.03875817421591776,-0.039889554946152594,-0.039889554946152594
embarrassment,0.35036750099760405,0.1610923813057787,0.46432354129294107,0.18927511969182537,-0.11395604029533701,-0.11395604029533701
excitement,0.2605567905384064,0.20154458911949039,0.2897743466600017,0.05901220141891603,-0.029217556121595267,-0.029217556121595267
fear,0.4810504418255833,0.37512274635888654,0.5735413220378198,0.10592769546669678,-0.0924908802122365,-0.0924908802122365
gratitude,0.8780032986732869,0.8770797939878017,0.8920320270325728,0.000923504685485188,-0.014028728359285925,-0.014028728359285925
grief,0.15065407021168128,0.19852092352092351,0.25879007864488807,-0.04786685330924223,-0.10813600843320678,-0.10813600843320678
joy,0.3986092700697679,0.4679177090135097,0.44065631694919893,-0.06930843894374183,-0.04204704687943106,-0.06930843894374183
love,0.7598182457871677,0.753068178859198,0.7684884359304226,0.006750066927969756,-0.008670190143254874,-0.008670190143254874
nervousness,0.2876873355734554,0.20925098829720482,0.35825325811075603,0.07843634727625057,-0.07056592253730065,-0.07056592253730065
optimism,0.457146441240092,0.5207771305201409,0.5128931586269663,-0.06363068928004884,-0.055746717386874256,-0.06363068928004884
pride,0.4456440173873256,0.33156537509496853,0.5000370370370371,0.11407864229235709,-0.05439301964971144,-0.05439301964971144
realization,0.13187246712886708,0.16660838319432775,0.008531047502423594,-0.03473591606546067,0.12334141962644349,-0.03473591606546067
relief,0.21672403543272134,0.1288943590904375,0.2753230890464933,0.08782967634228384,-0.058599053613771934,-0.058599053613771934
remorse,0.6065533895685757,0.5964314757883604,0.6191512905877475,0.01012191378021532,-0.012597901019171798,-0.012597901019171798
sadness,0.322019803727552,0.3926485662616672,0.4636738758074501,-0.07062876253411521,-0.1416540720798981,-0.1416540720798981
surprise,0.4362172679015844,0.27685999732982836,0.5058498522591749,0.15935727057175603,-0.06963258435759051,-0.06963258435759051
neutral,0.6476522802641794,0.5798295036048761,0.5857425037160459,0.06782277665930336,0.061909776548133566,0.061909776548133566
