fold,label,tfidf__max_features,tfidf__ngram_range,tfidf__sublinear_tf,lr__C,lr__solver
1,admiration,,"(1, 2)",True,10.0,saga
1,amusement,,"(1, 2)",True,10.0,saga
1,anger,,"(1, 2)",False,10.0,saga
1,annoyance,10000.0,"(1, 2)",True,10.0,saga
1,approval,10000.0,"(1, 2)",False,10.0,saga
1,caring,10000.0,"(1, 2)",False,10.0,saga
1,confusion,10000.0,"(1, 2)",False,10.0,saga
1,curiosity,10000.0,"(1, 2)",True,10.0,saga
1,desire,,"(1, 2)",False,10.0,saga
1,disappointment,10000.0,"(1, 1)",False,10.0,saga
1,disapproval,10000.0,"(1, 2)",False,10.0,saga
1,disgust,10000.0,"(1, 1)",True,10.0,saga
1,embarrassment,10000.0,"(1, 1)",True,10.0,saga
1,excitement,10000.0,"(1, 2)",False,10.0,saga
1,fear,10000.0,"(1, 2)",True,10.0,saga
1,gratitude,,"(1, 2)",True,10.0,saga
1,grief,10000.0,"(1, 1)",True,10.0,saga
1,joy,,"(1, 2)",True,10.0,saga
1,love,,"(1, 2)",True,10.0,saga
1,nervousness,10000.0,"(1, 1)",False,10.0,saga
1,optimism,,"(1, 2)",False,10.0,saga
1,pride,30000.0,"(1, 1)",False,10.0,saga
1,realization,10000.0,"(1, 2)",True,10.0,saga
1,relief,10000.0,"(1, 2)",True,10.0,saga
1,remorse,,"(1, 2)",False,10.0,saga
1,sadness,30000.0,"(1, 1)",True,10.0,saga
1,surprise,10000.0,"(1, 2)",True,10.0,saga
1,neutral,10000.0,"(1, 2)",True,10.0,saga
2,admiration,,"(1, 2)",True,10.0,saga
2,amusement,,"(1, 2)",True,10.0,saga
2,anger,10000.0,"(1, 2)",False,10.0,saga
2,annoyance,10000.0,"(1, 2)",True,10.0,saga
2,approval,10000.0,"(1, 2)",True,10.0,saga
2,caring,30000.0,"(1, 1)",False,10.0,saga
2,confusion,,"(1, 2)",True,10.0,saga
2,curiosity,10000.0,"(1, 2)",False,10.0,saga
2,desire,,"(1, 2)",True,10.0,saga
2,disappointment,10000.0,"(1, 1)",False,10.0,saga
2,disapproval,10000.0,"(1, 2)",True,10.0,saga
2,disgust,10000.0,"(1, 1)",False,10.0,saga
2,embarrassment,10000.0,"(1, 1)",True,10.0,saga
2,excitement,10000.0,"(1, 2)",False,10.0,saga
2,fear,10000.0,"(1, 1)",True,10.0,saga
2,gratitude,,"(1, 2)",False,10.0,saga
2,grief,10000.0,"(1, 1)",True,10.0,saga
2,joy,,"(1, 2)",False,10.0,saga
2,love,,"(1, 2)",True,10.0,saga
2,nervousness,10000.0,"(1, 1)",True,10.0,saga
2,optimism,,"(1, 2)",False,10.0,saga
2,pride,10000.0,"(1, 2)",False,10.0,saga
2,realization,10000.0,"(1, 1)",True,10.0,saga
2,relief,10000.0,"(1, 2)",True,10.0,saga
2,remorse,,"(1, 2)",True,10.0,saga
2,sadness,10000.0,"(1, 1)",False,10.0,saga
2,surprise,10000.0,"(1, 2)",True,10.0,saga
2,neutral,10000.0,"(1, 2)",True,10.0,saga
3,admiration,,"(1, 2)",True,10.0,saga
3,amusement,,"(1, 2)",True,10.0,saga
3,anger,10000.0,"(1, 1)",True,10.0,saga
3,annoyance,10000.0,"(1, 1)",True,10.0,saga
3,approval,10000.0,"(1, 2)",True,10.0,saga
3,caring,10000.0,"(1, 1)",True,10.0,saga
3,confusion,,"(1, 2)",True,10.0,saga
3,curiosity,10000.0,"(1, 2)",False,10.0,saga
3,desire,,"(1, 2)",False,10.0,saga
3,disappointment,10000.0,"(1, 1)",True,10.0,saga
3,disapproval,10000.0,"(1, 2)",False,10.0,saga
3,disgust,10000.0,"(1, 1)",False,10.0,saga
3,embarrassment,10000.0,"(1, 1)",True,10.0,saga
3,excitement,,"(1, 2)",True,10.0,saga
3,fear,10000.0,"(1, 1)",False,10.0,saga
3,gratitude,,"(1, 2)",True,10.0,saga
3,grief,10000.0,"(1, 1)",True,0.01,saga
3,joy,,"(1, 2)",True,10.0,saga
3,love,,"(1, 2)",True,10.0,saga
3,nervousness,10000.0,"(1, 1)",True,10.0,saga
3,optimism,,"(1, 2)",False,10.0,saga
3,pride,10000.0,"(1, 1)",True,10.0,saga
3,realization,10000.0,"(1, 2)",False,10.0,saga
3,relief,10000.0,"(1, 1)",True,10.0,saga
3,remorse,10000.0,"(1, 2)",True,10.0,saga
3,sadness,10000.0,"(1, 1)",True,10.0,saga
3,surprise,10000.0,"(1, 2)",True,10.0,saga
3,neutral,10000.0,"(1, 2)",True,10.0,saga
4,admiration,,"(1, 2)",True,10.0,saga
4,amusement,,"(1, 2)",True,10.0,saga
4,anger,10000.0,"(1, 1)",True,10.0,saga
4,annoyance,10000.0,"(1, 2)",True,10.0,saga
4,approval,10000.0,"(1, 2)",True,10.0,saga
4,caring,10000.0,"(1, 1)",True,10.0,saga
4,confusion,10000.0,"(1, 2)",True,10.0,saga
4,curiosity,10000.0,"(1, 2)",True,10.0,saga
4,desire,,"(1, 2)",True,10.0,saga
4,disappointment,10000.0,"(1, 1)",True,10.0,saga
4,disapproval,10000.0,"(1, 2)",False,10.0,saga
4,disgust,10000.0,"(1, 1)",True,10.0,saga
4,embarrassment,10000.0,"(1, 1)",True,10.0,saga
4,excitement,10000.0,"(1, 2)",True,10.0,saga
4,fear,10000.0,"(1, 1)",True,10.0,saga
4,gratitude,,"(1, 2)",True,10.0,saga
4,grief,30000.0,"(1, 1)",True,10.0,saga
4,joy,,"(1, 2)",True,10.0,saga
4,love,,"(1, 2)",True,10.0,saga
