,tau_bert,tau_lr,base_rate,f1_bert_tuned,valencia
admiration,0.3,0.4999999999999999,0.09444260058266032,0.6455581643833697,1
amusement,0.25,0.39999999999999997,0.053342921414610764,0.7610887226945752,1
anger,0.24,0.8699999999999999,0.03613969096876498,0.42110316171250284,-1
annoyance,0.15,0.5499999999999999,0.05703064498285208,0.31622434720605713,-1
approval,0.15,0.51,0.06798318398052881,0.3116198851528247,1
caring,0.2,0.7899999999999998,0.025353099531659106,0.39723137420757193,1
confusion,0.25,0.7799999999999999,0.03084780764833868,0.37073634037898023,0
curiosity,0.15,0.7699999999999999,0.05017147914592322,0.36407796590192315,0
desire,0.27,0.48999999999999994,0.014769332890806505,0.5024851374428254,1
disappointment,0.15,0.7,0.029188332042630084,0.2730616786450695,-1
disapproval,0.2,0.78,0.04759007264815429,0.360311232454949,-1
disgust,0.31999999999999995,0.75,0.01867831987314231,0.412814542605096,-1
embarrassment,0.4999999999999999,0.95,0.0069144816904524835,0.46432354129294107,-1
excitement,0.2,0.8699999999999999,0.01937898735110816,0.3697193957389514,1
fear,0.38999999999999996,0.8699999999999999,0.01408710403068186,0.5754903190116172,-1
gratitude,0.32999999999999996,0.69,0.062175019360548735,0.895490949769113,1
grief,0.37999999999999995,0.71,0.001770107312755836,0.26693403298350826,-1
joy,0.28,0.48999999999999994,0.032894494228712615,0.4897322534569103,1
love,0.31999999999999995,0.39999999999999997,0.04749787955894826,0.771247400563248,1
nervousness,0.36,0.71,0.003835232510970978,0.3807145010490706,-1
optimism,0.31,0.58,0.036434708854224285,0.5328896283837556,1
pride,0.45,0.6900000000000001,0.0026182837334513404,0.4852222222222222,1
realization,0.1,0.7300000000000001,0.025482169856547554,0.18965469290327688,0
relief,0.4,0.38,0.0033558284470996055,0.26257450302204516,1
remorse,0.2,0.36000000000000004,0.01233543533576723,0.6462093876929916,-1
sadness,0.25,0.7999999999999999,0.029962753991960762,0.5022316512786177,-1
surprise,0.31999999999999995,0.95,0.0245049231109636,0.5113150669226464,0
neutral,0.3,0.25,0.3272670280635764,0.645363917791682,0
