fold,emocao,regra,consequente,confianca,suporte
1,admiration,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é MUITO_BAIXO E sent_neu é ALTO E outras é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.90, suporte=6646.3]",baixa,0.8989,6646.31
1,admiration,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é MUITO_BAIXO E sent_neu é ALTO E outras é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.90, suporte=6364.0]",baixa,0.9023,6363.96
1,admiration,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é ALTO E sent_neg é MUITO_BAIXO E sent_neu é BAIXO E outras é BAIXO ENTÃO pertinência(admiration) é ALTA  [conf=0.97, suporte=1842.7]",alta,0.9716,1842.65
1,admiration,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é ALTO E sent_neg é MUITO_BAIXO E sent_neu é BAIXO E outras é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.76, suporte=1475.9]",baixa,0.7622,1475.91
1,admiration,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO E sent_neu é BAIXO E outras é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.91, suporte=1092.1]",baixa,0.911,1092.05
1,admiration,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é ALTO E sent_neg é MUITO_BAIXO E sent_neu é BAIXO E outras é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.80, suporte=1061.0]",baixa,0.7977,1061.01
1,admiration,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é ALTO E sent_neg é MUITO_BAIXO E sent_neu é BAIXO E outras é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.96, suporte=995.4]",alta,0.9647,995.37
1,admiration,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é MUITO_BAIXO E sent_neu é ALTO E outras é BAIXO ENTÃO pertinência(admiration) é ALTA  [conf=0.97, suporte=909.7]",alta,0.9716,909.66
1,admiration,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO E sent_neu é BAIXO E outras é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.97, suporte=731.3]",baixa,0.9656,731.33
1,admiration,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é MUITO_BAIXO E sent_neu é ALTO E outras é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.96, suporte=364.3]",alta,0.9627,364.29
1,admiration,"SE p_lr é ALTO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é MUITO_BAIXO E sent_neu é ALTO E outras é BAIXO ENTÃO pertinência(admiration) é ALTA  [conf=0.69, suporte=227.4]",alta,0.6887,227.42
