EMOTIONS,GOLDEN_PHRASES_GPT,GOLDEN_PHRASES_CLAUDE
tristeza,"[Hoje o dia só passou, não deixou nada; Acordei com aquele peso no peito que nem café resolve; Tanta mensagem e ainda assim uma solidão danada; O ônibus atrasou, a chuva caiu, eu também; Ver as notícias dá um nó na garganta, difícil manter esperança; Trabalhei o dia todo e parece que não rendi nada; Saudade bateu do nada e ficou; Fingi que tava tudo bem, mas foi só pose; Tem dias que a gente se perde da própria versão; Cansei de segurar, hoje o coração ficou quebrado demais.]",[cara que vontade de sumir por uns dias...;tudo que eu faço parece que não é o suficiente;acordei com aquele aperto no peito que não passa;saudade de quando as coisas eram mais simples;to tentando mas tá difícil demais hoje;parece que nada faz mais sentido sabe;cada dia mais cansado de tentar;me sinto tão sozinho ultimamente;ver todo mundo feliz enquanto eu to assim é foda;chega uma hora que a gente só quer parar de sentir]
otimismo,"[Hoje acordei com a sensação de que vai dar bom; Café forte, cabeça no lugar e dia seguindo; Pequenas vitórias também contam, e hoje já tive uma; Mesmo com trânsito e fila, tô sentindo que flui; As notícias nem sempre ajudam, mas sigo acreditando no amanhã; Dei um passo que eu tava adiando faz tempo, e foi libertador; Nem tudo resolvido, mas tudo encaminhando; Quando confio no processo, as coisas andam; O esforço de hoje é o alívio de amanhã, certeza; Pode vir o desafio, tô pronto pra fazer acontecer.]",[bom dia com aquela energia de segunda que promete;as coisas tão começando a se encaixar finalmente;acordei sentindo que hoje vai ser diferente;vai dar certo sim confia;tô com um pressentimento muito bom sobre esse projeto;cada dia mais perto dos meus objetivos;tem coisa boa vindo por aí eu sinto;to naquela vibe de que tudo vai se resolver;2026 vai ser nosso ano pode anotar;daqui a pouco a gente olha pra trás e vê como valeu a pena]
desprezo,"[Mais um dia ouvindo opinião de quem não leu nada… ok então;Gente que atrasa e ainda acha ruim quando cobram, incrível;Notícia de hoje: prometeram tudo de novo, ninguém caiu dessa vez;Reunião que podia ser um e-mail, mas insistem em gastar meu tempo;Ver gente defendendo isso com tanta convicção dá até preguiça;Amigo que só aparece quando precisa, transparência zero;Timeline cheia de especialista de assunto que começou ontem;Acordar cedo pra ver o mesmo erro sendo repetido, clássico;Esse serviço caro entregando o mínimo do mínimo, parabéns;Tem coisa que nem raiva dá mais, só aquele silêncio bem claro.]",[gente que fala demais e faz de menos me irrita profundamente;esse tipo de pessoa nem merece meu tempo sinceramente;que nojo desse comportamento velho;tem gente que é tão falsa que dá até pena;não consigo levar a sério quem age assim;esse povo não vale nem a raiva que dá;patético como sempre;gente assim deveria ter vergonha na cara;me poupe dessa sua opinião furada por favor;quanto mais eu conheço certas pessoas menos eu quero perto de mim]
alegria,"[Café quentinho, sol batendo na janela e a semana começando do jeito certo;Mensagem boa logo cedo muda completamente o humor do dia;Quando o salário cai antes do esperado dá até vontade de cantar;Notícia boa no meio de tanta coisa pesada, ainda bem que acontece;Treino rendendo, corpo leve e cabeça no lugar;Encontrar um amigo por acaso e rir como se fosse ontem;Projeto andando pra frente depois de tanto esforço, finalmente;Nada como chegar em casa e sentir que hoje valeu a pena;Tem dias que tudo encaixa sem esforço nenhum;É aquela sensação de que tá tudo certo, mesmo sem motivo grande.]",[que dia maravilhoso gente;acabei de receber a melhor notícia do ano;to nas nuvens hoje não tem como;consegui finalmente mano que sensação boa;sexta feira chegando e eu to voando já;que vibe boa acordar assim;deu tudo certo galera to muito feliz;to radiante demais hoje;melhor dia da semana disparado;não to acreditando ainda to muito empolgado com isso]
raiva,"[Acordei atrasado porque o ônibus simplesmente decidiu não passar, parabéns aos envolvidos;
Tentando trabalhar e a internet cai de novo… alguém acha isso normal mesmo?;
Gente que anda devagar ocupando a calçada inteira, sério, custa ter noção?;
O preço no mercado subiu de novo e o salário continua fazendo cosplay de estátua;
Prometeram retorno hoje e claro que sumiram, profissionalismo passou longe;
Notícia de corrupção todo dia, a paciência já foi de base faz tempo;
Fila enorme pra resolver algo simples, parece que o sistema foi feito pra testar limites;
Quando você explica três vezes e a pessoa ainda faz errado, dá um cansaço absurdo;
Esse calor infernal e ainda falta luz no bairro, tem como não surtar?;
Tem dias que tudo conspira pra dar errado, e hoje resolveu caprichar demais.]",[que absurdo cara to passando mal de nervoso;não é possível uma coisa dessas;to fervendo com isso;como pode uma situação dessa mano;que ódio que me dá isso;to puto demais pra falar agora;chega uma hora que a paciência acaba;que falta de respeito do caramba;não aguento mais essa palhaçada;to explodindo aqui ninguém merece isso]
agressividade,"[Hoje acordei meio sem paciência, qualquer coisinha já me tira do sério;
Trânsito parado e o pessoal ainda buzina como se fosse resolver algo, dá vontade de gritar;
Reunião que podia ser um e-mail, sério, quem inventou isso merece um puxão de orelha;
Pessoa falando besteira com convicção máxima, difícil manter a calma assim;
Quando alguém invade seu espaço na fila como se fosse normal, o sangue ferve;
Atendimento mal feito e ainda respondem torto, parece provocação;
Debate online virou competição de quem fala mais alto e menos pensa;
Gente que não respeita horário e acha ruim quando você cobra, me poupe;
Notícia absurda atrás de notícia absurda, a vontade é de bater na mesa;
Tem limite pra tudo, e quando passam dele, a resposta vem mais atravessada mesmo.]",[cala a boca vai;não enche meu saco hoje não;fica quieto aí before de falar besteira;vem falar merda aqui não que não to afim;se meter comigo vai se arrepender;para de ser idiota cara;some da minha frente agora;não me testa hoje que não vai dar certo;vai procurar o que fazer ao invés de me incomodar;respeita ou vai ter problema sério]
submissão,"[Hoje deixei rolar e segui o plano de outra pessoa, sem discutir muito;
No trabalho só concordei com tudo na reunião, melhor não comprar briga agora;
Às vezes é mais fácil abaixar a cabeça e tocar o dia do que tentar mudar tudo;
Vi a notícia e pensei “é isso, não tem o que fazer mesmo…”;
Na família eu só escuto, concordo e sigo, cansei de argumentar;
Aceitei aquela decisão sem questionar, mesmo não sendo o que eu queria;
Quando falam mais alto, eu fico quieto e deixo passar;
Já entendi meu lugar nessa história e não vou peitar ninguém;
Engoli seco, concordei e pronto, não vale o desgaste;
No fim das contas só restou aceitar e seguir as ordens, gostando ou não.]","[""aceito que eu tava errado dessa vez, falha minha mesmo""; ""pode mandar, eu faço do jeito que você quiser""; ""tá bom né, se todo mundo acha que é assim então deve ser assim""; ""eu só obedeço ordens aqui, não questiono mais nada""; ""desculpa, não vou mais contrariar, pode deixar""; ""manda aí o que eu tenho que fazer que eu faço sem reclamar""; ""concordo com tudo que você falou, tem razão mesmo""; ""eu só acato e pronto, nem adianta discutir""; ""tô aqui só pra cumprir o combinado, sem problemas""; ""pode falar que eu faço, não vou questionar não""]"
nojo,"[Abri a geladeira e vi aquilo ali… perdi até a fome;
Tem coisa na timeline hoje que dá vontade de fechar o app na hora;
O ônibus lotado de manhã cedo já começa testando o estômago;
Sério que alguém acha isso normal? Que situação deplorável;
Vi a notícia e fiquei com aquele gosto ruim que não sai;
Gente que age assim me dá uma sensação péssima, impossível defender;
Só de lembrar do que ouvi hoje já me embrulha tudo;
Tem atitudes que não dá nem pra comentar, é só virar o rosto;
Quanto mais detalhes aparecem, pior fica de engolir;
Isso aí ultrapassa qualquer limite do aceitável, repulsivo demais;]","[""que coisa mais asquerosa mano, nem consigo olhar""; ""acabei de ver uma barata no meu quarto, vou me mudar""; ""esse cara é tão repugnante que me dá até arrepios""; ""meu deus que fedorento, quase vomitei agora""; ""tirei o sapato e o cheiro me matou, que horror""; ""vi o vídeo e fiquei enjoado, muito nojento mesmo""; ""tem gente que é imunda demais, cruzes""; ""encontrei comida estragada na geladeira, que asco""; ""que pessoa desprezível cara, me dá até ânsia""; ""passei mal só de pensar nisso, que repulsa""]"
medo,"[Acordei com aquela sensação estranha de que esqueci algo importante… detesto isso;
Sair de casa hoje deu um aperto no peito, tudo parecia meio fora do lugar;
Quando o chefe chama pra conversar sem avisar, o coração já dispara sozinho;
Notícia passando na TV e eu só pensando onde isso tudo vai parar…;
Andar na rua vazia à noite faz qualquer barulho parecer coisa séria;
Abri o app do banco e fiquei encarando a tela por segundos antes de olhar o saldo;
Esse silêncio antes da resposta já diz tudo, tá me deixando tenso demais;
Quando o avião começa a tremer, a cabeça viaja pra mil cenários nada bons;
Ler certos comentários por aqui dá um nó no estômago, galera passa do limite;
Tem dias que a gente sente que tá por um fio, como se qualquer passo em falso fosse dar ruim.]","[""escutei um barulho estranho aqui em casa e tô meio nervoso""; ""cara tô tremendo aqui, acho que alguém tá me seguindo""; ""não vou conseguir dormir depois desse filme, que angústia""; ""voltando sozinho pra casa de madrugada, que tensão""; ""acabei de ver as notícias e tô apavorado com tudo isso""; ""meu coração tá acelerado, aconteceu uma parada muito estranha""; ""tô com um pressentimento horrível sobre amanhã""; ""gente eu tô em pânico, não sei o que fazer agora""; ""que susto, achei que ia acontecer o pior""; ""tô gelado aqui, essa situação tá muito sinistra""]"
decepção,"[Criei expectativa à toa, de novo… devia aprender;
Promessa bonita no começo e zero entrega no final, clássico;
Esperar algo simples e nem isso acontecer cansa mais do que parece;
Quando a pessoa mostra quem é, a ficha cai meio tarde;
Notícia de hoje conseguiu estragar o resto do dia sem muito esforço;
Confiei, dei espaço, e no fim fiquei falando sozinho;
Nada como abrir a mensagem e perceber que era melhor nem ter lido;
Trabalhar tanto pra ver tudo ir por água abaixo dá um vazio estranho;
Algumas atitudes falam mais alto que qualquer pedido de desculpa;
Tem coisa que não dói pelo que foi, mas pelo que achei que seria.]","[""esperava mais dessa pessoa, mas enfim""; ""que frustração cara, não era pra ter sido assim""; ""confiava tanto e no final deu nisso""; ""achei que ia ser diferente dessa vez, mas não""; ""promessa é dívida né, pelo visto não pra todo mundo""; ""me sinto um palhaço por ter acreditado""; ""era só isso que você tinha pra oferecer""; ""depois de tudo que eu fiz, é assim que você retribui""; ""não acredito que caí nessa de novo, que raiva""; ""desabou tudo que eu tinha construído na minha cabeça""]"
