,BERT@0.5,BERT@tuned,LR@0.5,LR@tuned
admiration,0.614884502961319,0.6455581643833697,0.6091872199596629,0.6091872199596629
amusement,0.7522044483968297,0.7610887226945752,0.7242112174371845,0.7300540522103055
anger,0.3503092190598176,0.42110316171250284,0.2992948660075082,0.30825040621186456
annoyance,0.004487199306329741,0.31622434720605713,0.20915877388916765,0.21316810193665306
approval,0.09446686487345561,0.3116198851528247,0.20803932910433756,0.20640426602263165
caring,0.2958350232626451,0.39723137420757193,0.29090861313648797,0.2987092440346012
confusion,0.30925457773294796,0.37073634037898023,0.2722216898332713,0.2808055625573037
curiosity,0.18279556364858637,0.36407796590192315,0.21794931637906104,0.23051535188934552
desire,0.4773077903771526,0.5024851374428254,0.47060627246248155,0.46911876703435
disappointment,0.059782845044635116,0.2730616786450695,0.16501700203475506,0.1764082326653179
disapproval,0.13560461380727734,0.360311232454949,0.23255927513019686,0.23182596935059596
disgust,0.3773945506105421,0.412814542605096,0.29874682144847176,0.33025220377988296
embarrassment,0.46432354129294107,0.46432354129294107,0.1610923813057787,0.2743816454996768
excitement,0.2897743466600017,0.3697193957389514,0.20154458911949039,0.21482282319709406
fear,0.5735413220378198,0.5754903190116172,0.37512274635888654,0.41841364629066485
gratitude,0.8920320270325728,0.895490949769113,0.8770797939878017,0.8818004620351216
grief,0.25879007864488807,0.26693403298350826,0.19852092352092351,0.1590914123761599
joy,0.44065631694919893,0.4897322534569103,0.4679177090135097,0.46566823117288647
love,0.7684884359304226,0.771247400563248,0.753068178859198,0.7544829753601165
nervousness,0.35825325811075603,0.3807145010490706,0.20925098829720482,0.23608348374937843
optimism,0.5128931586269663,0.5328896283837556,0.5207771305201409,0.5207191662511748
pride,0.5000370370370371,0.4852222222222222,0.33156537509496853,0.31297496931849567
realization,0.008531047502423594,0.18965469290327688,0.16660838319432775,0.17439940073247742
relief,0.2753230890464933,0.26257450302204516,0.1288943590904375,0.11250603243972494
remorse,0.6191512905877475,0.6462093876929916,0.5964314757883604,0.6053485210361491
sadness,0.4636738758074501,0.5022316512786177,0.3926485662616672,0.42409704878086574
surprise,0.5058498522591749,0.5113150669226464,0.27685999732982836,0.34510221404517
neutral,0.5857425037160459,0.645363917791682,0.5798295036048761,0.6110964117402269
