,Albertina@0.5,Albertina@tuned,LR@0.5,LR@tuned
admiration,0.6305321544215196,0.6450115634825659,0.6091872199596629,0.6091872199596629
amusement,0.7634847636567245,0.7646073605286128,0.7242112174371845,0.7300540522103055
anger,0.3677309615067865,0.42221535559456697,0.2992948660075082,0.30825040621186456
annoyance,0.053868974040617655,0.3044425564705383,0.20915877388916765,0.21316810193665306
approval,0.21466615589762536,0.3292547350182922,0.20803932910433756,0.20640426602263165
caring,0.33548108002606486,0.378100245534693,0.29090861313648797,0.2987092440346012
confusion,0.371745667013494,0.3905100442298419,0.2722216898332713,0.2808055625573037
curiosity,0.25896701282425905,0.3607203210419682,0.21794931637906104,0.23051535188934552
desire,0.4849985673620213,0.4765844847020103,0.47060627246248155,0.46911876703435
disappointment,0.1355974235571526,0.2622429638810534,0.16501700203475506,0.1764082326653179
disapproval,0.2085825625736483,0.3559292141793392,0.23255927513019686,0.23182596935059596
disgust,0.37314862378491914,0.41714031598737183,0.29874682144847176,0.33025220377988296
embarrassment,0.45415334202196983,0.4440789510072375,0.1610923813057787,0.2743816454996768
excitement,0.3504187003030029,0.3594833320521394,0.20154458911949039,0.21482282319709406
fear,0.5329037702616689,0.5479975188649274,0.37512274635888654,0.41841364629066485
gratitude,0.8953311688717209,0.8940690670612694,0.8770797939878017,0.8818004620351216
grief,0.18513197586726998,0.23231338481338484,0.19852092352092351,0.1590914123761599
joy,0.44579553662563337,0.4926671658168413,0.4679177090135097,0.46566823117288647
love,0.7734986299685819,0.7767792272267114,0.753068178859198,0.7544829753601165
nervousness,0.31481633403108483,0.3575145834070303,0.20925098829720482,0.23608348374937843
optimism,0.5378626739664514,0.5488295111502508,0.5207771305201409,0.5207191662511748
pride,0.46343431231840937,0.45125871162484427,0.33156537509496853,0.31297496931849567
realization,0.18623131882777755,0.24888101949046976,0.16660838319432775,0.17439940073247742
relief,0.23595337880098724,0.26856321539517547,0.1288943590904375,0.11250603243972494
remorse,0.6041425041682829,0.6410772177249477,0.5964314757883604,0.6053485210361491
sadness,0.45606765296934115,0.4885084932291101,0.3926485662616672,0.42409704878086574
surprise,0.5294890944031373,0.5407911221196935,0.27685999732982836,0.34510221404517
neutral,0.5657534798079036,0.6473013661255226,0.5798295036048761,0.6110964117402269
